time,Open,High,Low,Close,Volume,spread,RealVolume
2023-10-01,1847.284,1848.678,1845.687,1848.314,4065,200,0
2023-10-02,1848.314,1848.885,1820.404,1824.944,91703,200,0
2023-10-03,1824.919,1833.344,1815.218,1823.303,112739,200,0
2023-10-04,1823.303,1830.542,1816.556,1822.524,101114,200,0
2023-10-05,1822.472,1829.173,1812.994,1821.272,86951,200,0
2023-10-06,1821.272,1834.832,1810.402,1831.9,96662,200,0
2023-10-08,1853.39,1854.643,1845.525,1847.965,10973,200,0
2023-10-09,1847.992,1863.416,1844.161,1862.536,84497,200,0
2023-10-10,1862.582,1865.278,1852.97,1859.647,88390,200,0
2023-10-11,1859.633,1877.152,1858.59,1875.25,85908,200,0
2023-10-12,1875.251,1884.918,1867.883,1870.555,86445,200,0
2023-10-13,1870.546,1932.593,1870.055,1932.217,101879,200,0
2023-10-15,1927.521,1927.521,1921.177,1925.836,7670,200,0
2023-10-16,1925.842,1925.927,1908.144,1919.386,92286,200,0
2023-10-17,1919.382,1931.323,1912.343,1924.715,93202,200,0
2023-10-18,1924.711,1962.597,1923.763,1950.867,107467,200,0
2023-10-19,1950.8,1982.381,1945.172,1977.103,114853,200,0
2023-10-20,1977.137,1997.135,1971.961,1980.769,111704,200,0
2023-10-22,1972.732,1978.541,1970.037,1971.554,6283,200,0
2023-10-23,1971.516,1982.768,1964.273,1973.522,102758,200,0
2023-10-24,1973.52,1980.832,1953.409,1972.844,101747,200,0
2023-10-25,1972.848,1987.236,1963.001,1982.92,108694,200,0
2023-10-26,1982.941,1993.424,1971.77,1984.345,101729,200,0
2023-10-27,1984.343,2009.356,1976.84,2006.083,100356,200,0
2023-10-29,2002.989,2004.741,1996.833,2002.621,9375,200,0
2023-10-30,2002.649,2006.767,1990.941,1995.513,95379,200,0
2023-10-31,1995.531,2007.849,1978.806,1983.667,101913,200,0
2023-11-01,1983.67,1992.618,1969.823,1985.01,107154,200,0
2023-11-02,1984.989,1990.926,1978.798,1984.961,85339,200,0
2023-11-03,1984.956,2004.002,1983.218,1992.516,95233,200,0
2023-11-05,1991.419,1991.579,1987.149,1988.47,2473,200,0
2023-11-06,1988.473,1993.042,1975.736,1976.677,82630,200,0
2023-11-07,1976.653,1977.001,1956.624,1968.902,89594,200,0
2023-11-08,1968.908,1970.989,1947.335,1950.812,88849,200,0
2023-11-09,1950.815,1965.718,1944.514,1959.058,97692,200,0
2023-11-10,1959.06,1960.715,1932.898,1938.353,85417,200,0
2023-11-12,1941.002,1941.299,1921.384,1940.344,2187,200,0
2023-11-13,1940.374,1949.187,1931.604,1946.4,79791,200,0
2023-11-14,1946.414,1970.954,1937.47,1962.493,90777,200,0
2023-11-15,1962.487,1975.28,1955.412,1960.331,90297,200,0
2023-11-16,1960.333,1987.943,1956.436,1982.599,86806,199,0
2023-11-17,1982.577,1993.409,1978.514,1980.635,84992,199,0
2023-11-19,1977.456,1978.695,1974.12,1974.471,2471,199,0
2023-11-20,1974.532,1985.122,1965.416,1981.169,95902,199,0
2023-11-21,1981.155,2007.488,1980.709,1999.339,102340,199,0
2023-11-22,1999.338,2006.394,1986.851,1990.506,92532,199,0
2023-11-23,1990.515,1998.562,1989.762,1993.983,58355,199,0
2023-11-24,1994.072,2003.621,1991.467,2002.19,69438,199,0
2023-11-26,2000.897,2002.978,2000.484,2002.25,2311,357,0
2023-11-27,2002.364,2018.187,2001.79,2015.215,99708,199,0
2023-11-28,2015.217,2044.573,2011.389,2044.406,94608,199,0
2023-11-29,2044.426,2052.03,2035.228,2044.643,109456,199,0
2023-11-30,2044.64,2047.26,2031.274,2039.918,101387,199,0
2023-12-01,2040.075,2075.271,2033.825,2071.554,107664,199,0
2023-12-03,2074.106,2144.465,2071.634,2117.509,17125,381,0
2023-12-04,2117.935,2120.648,2019.986,2034.087,189490,199,0
2023-12-05,2033.931,2041.17,2009.744,2018.903,134342,199,0
2023-12-06,2018.904,2035.915,2018.683,2027.006,110315,199,0
2023-12-07,2026.977,2039.889,2020.091,2027.916,109390,199,0
2023-12-08,2028.061,2034.004,1994.518,2004.34,127462,199,0
2023-12-10,2005.584,2007.648,2004.547,2007.054,3143,199,0
2023-12-11,2006.993,2007.808,1975.841,1982.96,106030,199,0
2023-12-12,1982.954,1996.662,1977.115,1982.453,104515,199,0
2023-12-13,1982.452,2033.128,1973.033,2032.813,123529,199,0
2023-12-14,2032.858,2047.909,2027.353,2035.552,144916,199,0
2023-12-15,2035.52,2044.909,2015.546,2019.491,116109,199,0
2023-12-17,2019.802,2020.102,2015.895,2017.415,3338,199,0
2023-12-18,2017.414,2033.69,2016.067,2027.604,96959,199,0
2023-12-19,2027.568,2046.965,2021.696,2040.932,98161,199,0
2023-12-20,2040.862,2043.445,2027.387,2032.128,95462,199,0
2023-12-21,2032.103,2055.012,2031.906,2052.778,98487,199,0
2023-12-22,2052.788,2070.611,2046.753,2053.095,106445,199,0
2023-12-25,2057.746,2057.746,2052.916,2054.497,1477,1115,0
2023-12-26,2054.489,2069.045,2053.318,2065.502,59324,257,0
2023-12-27,2065.846,2084.425,2061.469,2079.169,89047,199,0
2023-12-28,2079.268,2088.485,2064.456,2066.564,100103,199,0
2023-12-29,2066.602,2074.729,2058.095,2062.838,93911,199,0
2024-01-01,2064.593,2066.095,2062.645,2063.543,1996,377,0
2024-01-02,2063.347,2078.877,2056.097,2059.476,101297,199,0
2024-01-03,2059.448,2065.982,2030.522,2042.666,120881,199,0
2024-01-04,2042.657,2050.958,2036.174,2043.865,98743,199,0
2024-01-05,2043.917,2063.986,2024.317,2045.479,136497,199,0
2024-01-07,2044.595,2045.575,2042.902,2044.208,2759,199,0
2024-01-08,2044.212,2046.59,2016.674,2030.439,118277,199,0
