time,Open,High,Low,Close,Volume,spread,real_volume
2025-04-24 17:30:00,3336.724,3338.699,3332.852,3333.41,2552,160,0
2025-04-24 17:45:00,3333.376,3337.334,3333.35,3336.724,1807,159,0
2025-04-24 18:00:00,3336.73,3339.331,3335.024,3338.376,1693,159,0
2025-04-24 18:15:00,3338.387,3340.342,3337.352,3338.041,1786,159,0
2025-04-24 18:30:00,3338.086,3338.343,3333.966,3335.236,1598,160,0
2025-04-24 18:45:00,3335.273,3336.293,3333.624,3334.737,1637,159,0
2025-04-24 19:00:00,3334.762,3336.37,3333.42,3336.331,1514,159,0
2025-04-24 19:15:00,3336.299,3337.397,3335.378,3336.92,1350,160,0
2025-04-24 19:30:00,3337.017,3341.86,3337.017,3341.675,1429,160,0
2025-04-24 19:45:00,3341.713,3347.026,3341.559,3342.226,2418,159,0
2025-04-24 20:00:00,3342.266,3342.801,3338.128,3339.422,1933,159,0
2025-04-24 20:15:00,3339.386,3341.89,3338.863,3341.787,1141,159,0
2025-04-24 20:30:00,3341.814,3346.393,3341.814,3345.295,1368,160,0
2025-04-24 20:45:00,3345.238,3349.961,3345.238,3349.37,1300,160,0
2025-04-24 22:15:00,3353.183,3363.447,3352.69,3363.371,1767,160,0
2025-04-24 22:30:00,3363.326,3370.789,3361.957,3365.493,4299,159,0
2025-04-24 22:45:00,3365.583,3367.562,3361.653,3367.111,2213,159,0
2025-04-24 23:00:00,3367.071,3368.189,3358.039,3361.744,3426,159,0
2025-04-24 23:15:00,3361.741,3361.778,3352.302,3354.726,2730,159,0
2025-04-24 23:30:00,3354.714,3355.568,3347.336,3351.216,3466,160,0
2025-04-24 23:45:00,3351.246,3354.857,3346.946,3348.976,3099,159,0
2025-04-25 00:00:00,3348.951,3358.214,3347.281,3355.876,4142,159,0
2025-04-25 00:15:00,3355.924,3361.282,3355.203,3357.587,3562,159,0
2025-04-25 00:30:00,3357.567,3361.316,3348.115,3351.756,4686,159,0
2025-04-25 00:45:00,3351.794,3358.277,3349.647,3357.706,2896,159,0
2025-04-25 01:00:00,3357.678,3363.157,3353.229,3355.425,6049,159,0
2025-04-25 01:15:00,3355.351,3356.514,3348.609,3352.867,4296,159,0
2025-04-25 01:30:00,3352.959,3354.769,3348.042,3349.29,3680,159,0
2025-04-25 01:45:00,3349.326,3351.573,3342.906,3345.726,4128,159,0
2025-04-25 02:00:00,3345.769,3353.375,3344.936,3352.532,3269,160,0
2025-04-25 02:15:00,3352.508,3353.002,3345.854,3348.491,2492,160,0
2025-04-25 02:30:00,3348.525,3351.03,3344.552,3346.543,3499,159,0
2025-04-25 02:45:00,3346.514,3348.738,3344.645,3348.738,2567,159,0
2025-04-25 03:00:00,3348.713,3351.249,3347.345,3349.424,2004,160,0
2025-04-25 03:15:00,3349.424,3354.232,3348.513,3348.855,2621,159,0
2025-04-25 03:30:00,3348.817,3349.549,3341.606,3342.161,3234,159,0
2025-04-25 03:45:00,3342.159,3342.688,3322.643,3323.655,5275,159,0
2025-04-25 04:00:00,3323.681,3327.821,3317.218,3321.778,6961,159,0
2025-04-25 04:15:00,3321.833,3326.493,3321.003,3323.922,3618,159,0
2025-04-25 04:30:00,3323.881,3323.881,3316.342,3323.05,4124,159,0
2025-04-25 04:45:00,3323.041,3326.318,3322.066,3324.761,2630,160,0
2025-04-25 05:00:00,3324.835,3327.19,3319.071,3321.167,3000,159,0
2025-04-25 05:15:00,3321.179,3321.291,3316.006,3319.156,3127,160,0
2025-04-25 05:30:00,3319.127,3319.506,3306.714,3309.395,7940,159,0
2025-04-25 05:45:00,3309.419,3309.483,3287.012,3294.514,11296,159,0
2025-04-25 06:00:00,3294.309,3297.548,3287.493,3288.892,6794,159,0
2025-04-25 06:15:00,3288.923,3298.445,3287.7,3297.813,6759,159,0
2025-04-25 06:30:00,3297.817,3306.304,3295.344,3304.986,6312,159,0
2025-04-25 06:45:00,3305.031,3305.662,3299.239,3304.448,4465,159,0
2025-04-25 07:00:00,3304.406,3310.107,3303.105,3308.925,4219,159,0
2025-04-25 07:15:00,3308.875,3314.527,3306.14,3306.693,4437,159,0
2025-04-25 07:30:00,3306.732,3310.077,3304.614,3304.962,3153,160,0
2025-04-25 07:45:00,3304.961,3308.509,3304.005,3307.449,2340,159,0
2025-04-25 08:00:00,3307.408,3307.905,3295.294,3295.775,3400,159,0
2025-04-25 08:15:00,3295.739,3301.611,3291.928,3301.562,4622,159,0
